,start,end,split_date,batch_size,epochs,num_labels,input_dim,hidden_dim,num_layers,output_dim,lr,weight_decay,train_loss_mean,train_accu_mean,test_accu_mean,best_train_accu,best_test_accu
0,2017-01-01,2019-12-31,2019-06-01,20,100,2,20,128,2,2,0.001,0.0,0.2168845683336258,0.8854775428771973,0.4806306064128876,1.0,0.522522509098053
1,2017-01-01,2019-12-31,2019-06-01,20,100,2,20,128,2,2,0.001,0.01,0.24756957590579987,0.8697296977043152,0.4880180358886719,1.0,0.5405405163764954
2,2017-01-01,2019-12-31,2019-06-01,20,100,2,20,128,2,2,0.01,0.0,0.2445904165506363,0.8591711521148682,0.4836937189102173,1.0,0.5675675868988037
3,2017-01-01,2019-12-31,2019-06-01,20,100,2,20,128,2,2,0.01,0.01,0.2534629702568054,0.8633513450622559,0.48072075843811035,1.0,0.5945945978164673
4,2017-01-01,2019-12-31,2019-06-01,20,100,2,51,128,2,2,0.001,0.0,0.11195503175258636,0.9399820566177368,0.47590911388397217,1.0,0.5545454621315002
5,2017-01-01,2019-12-31,2019-06-01,20,100,2,51,128,2,2,0.001,0.01,0.12716375291347504,0.9324684739112854,0.49745455384254456,1.0,0.5272727012634277
6,2017-01-01,2019-12-31,2019-06-01,20,100,2,51,128,2,2,0.01,0.0,0.14754125475883484,0.9217837452888489,0.5217272639274597,1.0,0.581818163394928
7,2017-01-01,2019-12-31,2019-06-01,20,100,2,51,128,2,2,0.01,0.01,0.16305682063102722,0.9136757850646973,0.49163636565208435,1.0,0.5636363625526428
8,2017-01-01,2019-12-31,2019-06-01,20,100,2,62,128,2,2,0.001,0.0,0.11506056785583496,0.938323974609375,0.487431138753891,1.0,0.5688073635101318
9,2017-01-01,2019-12-31,2019-06-01,20,100,2,62,128,2,2,0.001,0.01,0.1182987317442894,0.9378398656845093,0.5048624277114868,1.0,0.5596330165863037
10,2017-01-01,2019-12-31,2019-06-01,20,100,2,62,128,2,2,0.01,0.0,0.17388561367988586,0.9047300815582275,0.5251376628875732,1.0,0.5871559381484985
11,2017-01-01,2019-12-31,2019-06-01,20,100,2,62,128,2,2,0.01,0.01,0.15243986248970032,0.9180446863174438,0.4987156391143799,1.0,0.5688073635101318
