,C,kernel,gamma,degree,accuracy,name
87,2,rbf,1,,0.5214285714285715,"Bert(15,17)"
88,2,rbf,10,,0.5214285714285715,"Bert(15,17)"
89,2,rbf,100,,0.5214285714285715,"Bert(15,17)"
90,5,rbf,scale,,0.5357142857142857,"Bert(15,17)"
91,5,rbf,auto,,0.5,"Bert(15,17)"
92,5,rbf,0.001,,0.5,"Bert(15,17)"
93,5,rbf,0.005,,0.5285714285714286,"Bert(15,17)"
94,5,rbf,0.01,,0.5428571428571428,"Bert(15,17)"
95,5,rbf,0.05,,0.5571428571428572,"Bert(15,17)"
96,5,rbf,0.1,,0.5214285714285715,"Bert(15,17)"
97,5,rbf,1,,0.5214285714285715,"Bert(15,17)"
98,5,rbf,10,,0.5214285714285715,"Bert(15,17)"
99,5,rbf,100,,0.5214285714285715,"Bert(15,17)"
100,7,rbf,scale,,0.5285714285714286,"Bert(15,17)"
101,7,rbf,auto,,0.5142857142857142,"Bert(15,17)"
102,7,rbf,0.001,,0.5142857142857142,"Bert(15,17)"
103,7,rbf,0.005,,0.5357142857142857,"Bert(15,17)"
104,7,rbf,0.01,,0.55,"Bert(15,17)"
105,7,rbf,0.05,,0.5571428571428572,"Bert(15,17)"
106,7,rbf,0.1,,0.5214285714285715,"Bert(15,17)"
107,7,rbf,1,,0.5214285714285715,"Bert(15,17)"
108,7,rbf,10,,0.5214285714285715,"Bert(15,17)"
109,7,rbf,100,,0.5214285714285715,"Bert(15,17)"
110,10,rbf,scale,,0.5571428571428572,"Bert(15,17)"
111,10,rbf,auto,,0.5142857142857142,"Bert(15,17)"
112,10,rbf,0.001,,0.5214285714285715,"Bert(15,17)"
113,10,rbf,0.005,,0.5642857142857143,"Bert(15,17)"
114,10,rbf,0.01,,0.5357142857142857,"Bert(15,17)"
115,10,rbf,0.05,,0.5571428571428572,"Bert(15,17)"
116,10,rbf,0.1,,0.5214285714285715,"Bert(15,17)"
117,10,rbf,1,,0.5214285714285715,"Bert(15,17)"
118,10,rbf,10,,0.5214285714285715,"Bert(15,17)"
119,10,rbf,100,,0.5214285714285715,"Bert(15,17)"
120,1,poly,,1.0,0.5357142857142857,"Bert(15,17)"
121,1,poly,,2.0,0.5,"Bert(15,17)"
122,1,poly,,3.0,0.5,"Bert(15,17)"
123,1,poly,,5.0,0.5357142857142857,"Bert(15,17)"
124,2,poly,,1.0,0.5,"Bert(15,17)"
125,2,poly,,2.0,0.5,"Bert(15,17)"
126,2,poly,,3.0,0.5142857142857142,"Bert(15,17)"
127,2,poly,,5.0,0.5428571428571428,"Bert(15,17)"
128,5,poly,,1.0,0.4928571428571429,"Bert(15,17)"
129,5,poly,,2.0,0.5357142857142857,"Bert(15,17)"
130,5,poly,,3.0,0.5642857142857143,"Bert(15,17)"
131,5,poly,,5.0,0.5571428571428572,"Bert(15,17)"
132,7,poly,,1.0,0.5,"Bert(15,17)"
133,7,poly,,2.0,0.5571428571428572,"Bert(15,17)"
134,7,poly,,3.0,0.55,"Bert(15,17)"
135,7,poly,,5.0,0.5571428571428572,"Bert(15,17)"
136,10,poly,,1.0,0.5214285714285715,"Bert(15,17)"
137,10,poly,,2.0,0.5571428571428572,"Bert(15,17)"
138,10,poly,,3.0,0.55,"Bert(15,17)"
139,10,poly,,5.0,0.55,"Bert(15,17)"
140,1,rbf,scale,,0.5428571428571428,"Bert(07,09)"
141,1,rbf,auto,,0.5214285714285715,"Bert(07,09)"
142,1,rbf,0.001,,0.5214285714285715,"Bert(07,09)"
143,1,rbf,0.005,,0.5357142857142857,"Bert(07,09)"
144,1,rbf,0.01,,0.5571428571428572,"Bert(07,09)"
145,1,rbf,0.05,,0.5571428571428572,"Bert(07,09)"
146,1,rbf,0.1,,0.5357142857142857,"Bert(07,09)"
147,1,rbf,1,,0.5214285714285715,"Bert(07,09)"
148,1,rbf,10,,0.5214285714285715,"Bert(07,09)"
149,1,rbf,100,,0.5214285714285715,"Bert(07,09)"
150,2,rbf,scale,,0.5571428571428572,"Bert(07,09)"
151,2,rbf,auto,,0.5214285714285715,"Bert(07,09)"
152,2,rbf,0.001,,0.5214285714285715,"Bert(07,09)"
153,2,rbf,0.005,,0.5714285714285714,"Bert(07,09)"
154,2,rbf,0.01,,0.5928571428571429,"Bert(07,09)"
155,2,rbf,0.05,,0.5571428571428572,"Bert(07,09)"
156,2,rbf,0.1,,0.5357142857142857,"Bert(07,09)"
157,2,rbf,1,,0.5214285714285715,"Bert(07,09)"
158,2,rbf,10,,0.5214285714285715,"Bert(07,09)"
159,2,rbf,100,,0.5214285714285715,"Bert(07,09)"
160,5,rbf,scale,,0.55,"Bert(07,09)"
161,5,rbf,auto,,0.5428571428571428,"Bert(07,09)"
162,5,rbf,0.001,,0.5571428571428572,"Bert(07,09)"
163,5,rbf,0.005,,0.5571428571428572,"Bert(07,09)"
164,5,rbf,0.01,,0.5357142857142857,"Bert(07,09)"
165,5,rbf,0.05,,0.5571428571428572,"Bert(07,09)"
166,5,rbf,0.1,,0.5357142857142857,"Bert(07,09)"
167,5,rbf,1,,0.5214285714285715,"Bert(07,09)"
168,5,rbf,10,,0.5214285714285715,"Bert(07,09)"
169,5,rbf,100,,0.5214285714285715,"Bert(07,09)"
170,7,rbf,scale,,0.5285714285714286,"Bert(07,09)"
171,7,rbf,auto,,0.5428571428571428,"Bert(07,09)"
172,7,rbf,0.001,,0.5571428571428572,"Bert(07,09)"
173,7,rbf,0.005,,0.5285714285714286,"Bert(07,09)"
174,7,rbf,0.01,,0.5642857142857143,"Bert(07,09)"
175,7,rbf,0.05,,0.5571428571428572,"Bert(07,09)"
176,7,rbf,0.1,,0.5357142857142857,"Bert(07,09)"
177,7,rbf,1,,0.5214285714285715,"Bert(07,09)"
178,7,rbf,10,,0.5214285714285715,"Bert(07,09)"
179,7,rbf,100,,0.5214285714285715,"Bert(07,09)"
180,10,rbf,scale,,0.5428571428571428,"Bert(07,09)"
181,10,rbf,auto,,0.5428571428571428,"Bert(07,09)"
182,10,rbf,0.001,,0.5428571428571428,"Bert(07,09)"
183,10,rbf,0.005,,0.5428571428571428,"Bert(07,09)"
184,10,rbf,0.01,,0.5785714285714286,"Bert(07,09)"
185,10,rbf,0.05,,0.5571428571428572,"Bert(07,09)"
186,10,rbf,0.1,,0.5357142857142857,"Bert(07,09)"
187,10,rbf,1,,0.5214285714285715,"Bert(07,09)"
188,10,rbf,10,,0.5214285714285715,"Bert(07,09)"
189,10,rbf,100,,0.5214285714285715,"Bert(07,09)"
190,1,poly,,1.0,0.5214285714285715,"Bert(07,09)"
191,1,poly,,2.0,0.5857142857142857,"Bert(07,09)"
192,1,poly,,3.0,0.6071428571428571,"Bert(07,09)"
193,1,poly,,5.0,0.6142857142857143,"Bert(07,09)"
194,2,poly,,1.0,0.55,"Bert(07,09)"
195,2,poly,,2.0,0.5642857142857143,"Bert(07,09)"
196,2,poly,,3.0,0.5714285714285714,"Bert(07,09)"
197,2,poly,,5.0,0.6285714285714286,"Bert(07,09)"
198,5,poly,,1.0,0.5285714285714286,"Bert(07,09)"
199,5,poly,,2.0,0.5428571428571428,"Bert(07,09)"
200,5,poly,,3.0,0.5285714285714286,"Bert(07,09)"
201,5,poly,,5.0,0.55,"Bert(07,09)"
202,7,poly,,1.0,0.55,"Bert(07,09)"
203,7,poly,,2.0,0.4928571428571429,"Bert(07,09)"
204,7,poly,,3.0,0.5285714285714286,"Bert(07,09)"
205,7,poly,,5.0,0.55,"Bert(07,09)"
206,10,poly,,1.0,0.5357142857142857,"Bert(07,09)"
207,10,poly,,2.0,0.4857142857142857,"Bert(07,09)"
208,10,poly,,3.0,0.5214285714285715,"Bert(07,09)"
209,10,poly,,5.0,0.55,"Bert(07,09)"
