,start,end,split_date,batch_size,epochs,num_labels,input_dim,hidden_dim,num_layers,output_dim,lr,weight_decay,train_loss_mean,train_accu_mean,test_accu_mean,best_train_accu,best_test_accu
0,2017-01-01,2019-12-31,2019-06-01,20,100,2,19,128,2,2,0.001,0.0,0.26112669706344604,0.8592755198478699,0.5088000297546387,1.0,0.5839999914169312
1,2017-01-01,2019-12-31,2019-06-01,20,100,2,19,128,2,2,0.001,0.01,0.2651476562023163,0.8542933464050293,0.5303199887275696,1.0,0.5759999752044678
2,2017-01-01,2019-12-31,2019-06-01,20,100,2,19,128,2,2,0.01,0.0,0.2922728955745697,0.8425794839859009,0.5172799825668335,1.0,0.6000000238418579
3,2017-01-01,2019-12-31,2019-06-01,20,100,2,19,128,2,2,0.01,0.01,0.44565242528915405,0.7578797936439514,0.5105599761009216,0.982332170009613,0.6000000238418579
4,2017-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.001,0.0,0.1531325876712799,0.9155830144882202,0.49250003695487976,1.0,0.5806451439857483
5,2017-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.001,0.01,0.14678813517093658,0.919964611530304,0.4591129422187805,1.0,0.5483871102333069
6,2017-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.01,0.0,0.19612640142440796,0.8937456011772156,0.5426613092422485,1.0,0.6048387289047241
7,2017-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.01,0.01,0.2015223205089569,0.8939929008483887,0.5131451487541199,1.0,0.5725806355476379
8,2017-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.001,0.0,0.1410728394985199,0.9225000143051147,0.41586780548095703,1.0,0.586776852607727
9,2017-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.001,0.01,0.13530300557613373,0.9272081255912781,0.46123966574668884,1.0,0.586776852607727
10,2017-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.01,0.0,0.1928146630525589,0.8913503289222717,0.5023967027664185,1.0,0.5619834661483765
11,2017-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.01,0.01,0.208158940076828,0.8934489488601685,0.5161983370780945,1.0,0.586776852607727
