,start,end,split_date,batch_size,epochs,num_labels,input_dim,hidden_dim,num_layers,output_dim,lr,weight_decay,train_loss_mean,train_accu_mean,test_accu_mean,best_train_accu,best_test_accu
0,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,128,2,2,0.001,0.0,0.4790220856666565,0.7282750010490417,0.5216128826141357,0.9896238446235657,0.5967742204666138
1,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,128,2,2,0.001,0.0,0.4700404703617096,0.7364588379859924,0.5172799825668335,0.9769052863121033,0.5920000076293945
2,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,128,2,2,0.001,0.01,0.5229746699333191,0.6982361078262329,0.5104838609695435,0.9520103931427002,0.5887096524238586
3,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,128,2,2,0.001,0.01,0.4579108953475952,0.7422940731048584,0.5121599435806274,0.9946112632751465,0.6079999804496765
4,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,128,2,2,0.01,0.0,0.6743484139442444,0.573981761932373,0.5251612663269043,0.621919572353363,0.5725806355476379
5,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,128,2,2,0.01,0.0,0.6004106998443604,0.6373980045318604,0.5049600005149841,0.8144726753234863,0.6240000128746033
6,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,128,2,2,0.01,0.01,0.6364428997039795,0.6117509603500366,0.5006451606750488,0.7594033479690552,0.6048387289047241
7,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,128,2,2,0.01,0.01,0.6147720217704773,0.6338722705841064,0.47888001799583435,0.8083140850067139,0.5600000023841858
8,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,256,2,2,0.001,0.0,0.5345603227615356,0.6934629678726196,0.49870970845222473,0.963683545589447,0.5967742204666138
9,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,256,2,2,0.001,0.0,0.6751982569694519,0.5782601833343506,0.5044800043106079,0.6104695796966553,0.6159999966621399
10,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,256,2,2,0.001,0.01,0.5495434403419495,0.6809338331222534,0.48548388481140137,0.9837872982025146,0.5887096524238586
11,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,256,2,2,0.001,0.01,0.510709285736084,0.709114670753479,0.506879985332489,0.96304851770401,0.5839999914169312
12,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,256,2,2,0.01,0.0,0.6984184980392456,0.5450193881988525,0.5166128873825073,0.5881971716880798,0.6048387289047241
13,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,256,2,2,0.01,0.0,0.6985993981361389,0.5340570211410522,0.5131200551986694,0.5596612691879272,0.6399999856948853
14,2014-01-01,2020-12-31,2020-06-01,20,50,2,19,256,2,2,0.01,0.01,0.6967495083808899,0.5450324416160583,0.5196774005889893,0.5706874132156372,0.5806451439857483
15,2014-01-01,2019-12-31,2019-06-01,20,50,2,19,256,2,2,0.01,0.01,0.704871654510498,0.5485912561416626,0.5064000487327576,0.5919938683509827,0.6079999804496765
16,2014-01-01,2020-12-31,2020-06-01,20,100,2,19,128,2,2,0.001,0.0,0.24488718807697296,0.863728940486908,0.5123386979103088,1.0,0.5887096524238586
17,2014-01-01,2019-12-31,2019-06-01,20,100,2,19,128,2,2,0.001,0.0,0.23493511974811554,0.8685758709907532,0.5226399898529053,1.0,0.6000000238418579
