,date,0
0,2017-01-18,1
1,2017-01-19,0
2,2017-01-20,1
3,2017-01-23,0
4,2017-01-24,0
5,2017-01-25,0
6,2017-01-26,0
7,2017-02-03,0
8,2017-02-06,1
9,2017-02-07,1
10,2017-02-08,0
11,2017-02-09,1
12,2017-02-10,1
13,2017-02-13,1
14,2017-02-14,1
15,2017-02-15,1
16,2017-02-16,0
17,2017-02-17,1
18,2017-02-20,0
19,2017-02-21,1
20,2017-02-22,1
21,2017-02-23,1
22,2017-02-24,1
23,2017-02-27,0
24,2017-02-28,0
25,2017-03-01,1
26,2017-03-02,0
27,2017-03-03,1
28,2017-03-06,1
29,2017-03-07,1
30,2017-03-08,0
31,2017-03-09,1
32,2017-03-10,0
33,2017-03-13,1
34,2017-03-14,1
35,2017-03-15,0
36,2017-03-16,0
37,2017-03-17,1
38,2017-03-20,1
39,2017-03-21,0
40,2017-03-22,0
41,2017-03-23,0
42,2017-03-24,1
43,2017-03-27,1
44,2017-03-28,1
45,2017-03-29,1
46,2017-03-30,0
47,2017-03-31,1
48,2017-04-05,1
49,2017-04-06,0
50,2017-04-07,1
51,2017-04-10,1
52,2017-04-11,0
53,2017-04-12,0
54,2017-04-13,0
55,2017-04-14,0
56,2017-04-17,1
57,2017-04-18,1
58,2017-04-19,1
59,2017-04-20,1
60,2017-04-21,0
61,2017-04-24,1
62,2017-04-25,0
63,2017-04-26,1
64,2017-04-27,0
65,2017-04-28,0
66,2017-05-02,1
67,2017-05-03,0
68,2017-05-04,0
69,2017-05-05,1
70,2017-05-08,1
71,2017-05-09,1
72,2017-05-10,1
73,2017-05-11,0
74,2017-05-12,0
75,2017-05-15,0
76,2017-05-16,0
77,2017-05-17,1
78,2017-05-18,0
79,2017-05-19,1
80,2017-05-22,1
81,2017-05-23,1
82,2017-05-24,1
83,2017-05-25,0
84,2017-05-26,0
85,2017-05-31,0
86,2017-06-01,0
87,2017-06-02,0
88,2017-06-05,1
89,2017-06-06,1
90,2017-06-07,1
91,2017-06-08,1
92,2017-06-09,0
93,2017-06-12,1
94,2017-06-13,0
95,2017-06-14,1
96,2017-06-15,1
97,2017-06-16,1
98,2017-06-19,1
99,2017-06-20,0
100,2017-06-21,1
101,2017-06-22,0
102,2017-06-23,1
103,2017-06-26,0
104,2017-06-27,1
105,2017-06-28,0
106,2017-06-29,1
107,2017-06-30,0
108,2017-07-03,1
109,2017-07-04,1
110,2017-07-05,1
111,2017-07-06,0
112,2017-07-07,1
113,2017-07-10,1
114,2017-07-11,1
115,2017-07-12,0
116,2017-07-13,1
117,2017-07-14,1
118,2017-07-17,1
119,2017-07-18,0
120,2017-07-19,0
121,2017-07-20,0
122,2017-07-21,1
123,2017-07-24,1
124,2017-07-25,0
125,2017-07-26,1
126,2017-07-27,1
127,2017-07-28,1
128,2017-07-31,0
129,2017-08-01,1
130,2017-08-02,0
