,ts_code,trade_time,open,close,high,low,vol,amount,pct_chg
1,000001.SH,2020/12/30 14:30,3404.337,3409.202,3411.486,3403.988,2285225200,31865955239.0,-0.1537874441381899
2,000001.SH,2020/12/30 14:00,3408.5609999999997,3405.05,3409.43,3399.691,2461668400,33781468635.0,-0.1217880313340202
3,000001.SH,2020/12/30 13:30,3410.756,3408.778,3412.887,3405.283,2693471400,36984636691.0,0.10948444222550656
4,000001.SH,2020/12/30 11:30,3405.577,3409.4809999999998,3409.82,3403.4040000000005,2405603400,31517162173.0,0.020623226270527872
5,000001.SH,2020/12/30 11:00,3403.741,3405.637,3406.296,3396.7670000000003,3179376700,40136701767.0,-0.11274443236374088
6,000001.SH,2020/12/30 10:30,3387.82,3402.3320000000003,3402.841,3385.0820000000003,3956320200,52824647865.0,-0.09704498747223606
7,000001.SH,2020/12/30 10:00,3375.236,3387.68,3392.2070000000003,3375.236,7906312200,96246589911.0,-0.4306458041131935
8,000001.SH,2020/12/30 9:30,3375.009,3375.009,3375.009,3375.009,363291200,3675949031.0,-0.374031785764884
9,000001.SH,2020/12/29 15:00,3380.3740000000003,3379.0359999999996,3382.5690000000004,3376.0879999999997,3490634700,42050017883.0,0.11931820033663877
10,000001.SH,2020/12/29 14:30,3387.31,3380.228,3387.31,3377.825,2381212900,31139135749.0,0.035276333250088554
11,000001.SH,2020/12/29 14:00,3392.8540000000003,3387.8140000000003,3393.657,3386.252,2480315600,30221505968.0,0.22442273124772175
12,000001.SH,2020/12/29 13:30,3386.317,3393.107,3393.2659999999996,3383.132,2207643200,28141565645.0,0.15623644037127377
13,000001.SH,2020/12/29 11:30,3397.612,3386.1420000000003,3401.975,3382.6540000000005,2885957500,35384470340.0,-0.2052690940780733
14,000001.SH,2020/12/29 11:00,3396.37,3397.676,3402.2990000000004,3394.595,2969530700,38808207808.0,0.3406236359845408
15,000001.SH,2020/12/29 10:30,3388.489,3396.048,3396.828,3380.3990000000003,4296471300,56211692993.0,-0.04791510432425447
16,000001.SH,2020/12/29 10:00,3398.5290000000005,3388.765,3407.0879999999997,3386.6220000000003,9988131600,116251000000.0,-0.21445515493302517
17,000001.SH,2020/12/29 9:30,3399.2940000000003,3399.2940000000003,3399.2940000000003,3399.2940000000003,477021000,3895109739.0,0.3107031617713371
18,000001.SH,2020/12/28 15:00,3389.325,3397.285,3397.305,3387.312,3621695600,45845868081.0,-0.05910050734065571
19,000001.SH,2020/12/28 14:30,3396.619,3389.498,3398.809,3385.764,2499437700,33740374920.0,-0.22921244464329035
20,000001.SH,2020/12/28 14:00,3400.676,3397.0429999999997,3401.9790000000003,3394.933,2306177900,31678479344.0,0.2225993347687362
21,000001.SH,2020/12/28 13:30,3406.7909999999997,3401.4509999999996,3407.277,3396.533,2322797500,30364677684.0,0.12975991178209703
22,000001.SH,2020/12/28 11:30,3409.687,3406.6929999999998,3412.5190000000002,3404.9190000000003,2088219400,28440539930.0,0.15411070158000778
23,000001.SH,2020/12/28 11:00,3402.1,3409.2740000000003,3411.185,3401.895,3168149000,41871195338.0,0.07576262375272987
24,000001.SH,2020/12/28 10:30,3390.025,3401.678,3403.0370000000003,3384.035,4802714300,60489674908.0,-0.22280403393803075
25,000001.SH,2020/12/28 10:00,3396.534,3390.1009999999997,3401.492,3387.1740000000004,10388608600,121793000000.0,-0.3403320361304105
26,000001.SH,2020/12/28 9:30,3396.3590000000004,3396.3590000000004,3396.3590000000004,3396.3590000000004,420354200,3936048925.0,0.1845962701406454
27,000001.SH,2020/12/25 15:00,3393.013,3396.563,3396.9770000000003,3390.7459999999996,3523690900,45929354728.0,0.006006432182219945
28,000001.SH,2020/12/25 14:30,3388.952,3392.7790000000005,3395.73,3387.217,2427439700,32673053178.0,-0.11140673675122913
29,000001.SH,2020/12/25 14:00,3393.196,3388.998,3396.989,3388.612,3301257500,35977301126.0,-0.1114425666982849
30,000001.SH,2020/12/25 13:30,3391.1540000000005,3393.663,3396.9970000000003,3388.17,3467220500,38101775636.0,0.13765130578418647
31,000001.SH,2020/12/25 11:30,3385.133,3389.4790000000003,3390.063,3377.995,2707758000,30607745646.0,-0.12328861174488279
32,000001.SH,2020/12/25 11:00,3357.788,3384.3540000000003,3386.712,3357.788,3279163600,41396295681.0,-0.1512031790136478
33,000001.SH,2020/12/25 10:30,3354.58,3357.928,3358.94,3349.915,3877720200,49367022246.0,-0.7808284830724086
34,000001.SH,2020/12/25 10:00,3350.868,3354.938,3362.748,3348.345,6561047000,81427685684.0,-0.08904300509122834
35,000001.SH,2020/12/25 9:30,3351.79,3351.79,3351.79,3351.79,292935800,3462419957.0,-0.09383183832309683
36,000001.SH,2020/12/24 15:00,3363.4640000000004,3363.113,3367.097,3361.0679999999998,3267981700,41308901992.0,0.33781949346468204
37,000001.SH,2020/12/24 14:30,3358.011,3363.1,3365.9570000000003,3354.022,2422409200,30658674934.0,-0.0003865466310504573
38,000001.SH,2020/12/24 14:00,3372.261,3358.792,3372.261,3357.704,2219889700,28946032346.0,-0.1280961018108291
39,000001.SH,2020/12/24 13:30,3375.702,3372.12,3375.8540000000003,3363.7659999999996,2359171500,30831390388.0,0.3968093290683071
40,000001.SH,2020/12/24 11:30,3377.11,3375.2070000000003,3380.597,3370.417,2104013900,27626569971.0,0.0915447848831134
41,000001.SH,2020/12/24 11:00,3382.972,3376.887,3388.645,3373.63,2789821800,38254171134.0,0.04977472492797733
42,000001.SH,2020/12/24 10:30,3380.6259999999997,3383.0190000000002,3389.343,3375.792,3918985800,52180405963.0,0.1815873613775072
43,000001.SH,2020/12/24 10:00,3381.278,3380.828,3393.889,3373.7729999999997,8121377900,109718000000.0,-0.0647646377392577
44,000001.SH,2020/12/24 9:30,3382.1929999999998,3382.1929999999998,3382.1929999999998,3382.1929999999998,300793500,3796508290.0,0.04037472477155838
45,000001.SH,2020/12/23 15:00,3375.272,3382.32,3383.397,3371.039,3355090400,46239153076.0,0.0037549601693459673
46,000001.SH,2020/12/23 14:30,3361.895,3374.922,3377.9590000000003,3360.202,2328895300,33017908654.0,-0.21872560845810385
47,000001.SH,2020/12/23 14:00,3378.732,3361.423,3380.937,3361.423,2684164300,43252931330.0,-0.39997961434368706
48,000001.SH,2020/12/23 13:30,3386.27,3378.948,3392.928,3378.739,2914278000,43260633219.0,0.5213565802340286
49,000001.SH,2020/12/23 11:30,3374.742,3385.347,3394.2090000000003,3371.8559999999998,3372471800,42446286196.0,0.1893784692750626
50,000001.SH,2020/12/23 11:00,3375.914,3374.498,3383.211,3371.8309999999997,3371864300,44734962195.0,-0.32046936399725523
51,000001.SH,2020/12/23 10:30,3369.295,3375.914,3379.645,3365.684,4366515100,60440577252.0,0.041961796984326775
52,000001.SH,2020/12/23 10:00,3362.671,3369.054,3374.7990000000004,3361.452,7291267600,96699066182.0,-0.20320422854374037
53,000001.SH,2020/12/23 9:30,3362.472,3362.472,3362.472,3362.472,267805900,3163260959.0,-0.195366414429685
