,date,0,1,2,3,4,5
0,2017-01-03,0.0015170003,0.021518147,7.842505,25.016357,1.592843e-05,0.16518466
1,2017-01-04,0.00012262755,0.009804641,5.208388,51.357094,0.000108880624,0.29521024
2,2017-01-05,0.00027982407,0.0020759106,7.538145,29.368168,-8.548996e-07,0.16222636
3,2017-01-06,0.0002760184,0.004927262,8.225013,36.252823,-1.8634057e-06,0.16323645
4,2017-01-09,0.0001770834,0.0006302695,20.970066,36.667343,2.23947e-07,0.06620507
5,2017-01-10,8.572073e-05,0.003867064,16.473766,45.93469,1.8659949e-06,0.10620188
6,2017-01-11,3.6206457e-05,0.00055681245,38.69006,77.84815,4.3518855e-10,0.07911572
7,2017-01-12,0.00014272898,0.0005227214,25.145844,56.609108,3.0538135e-07,0.049626697
8,2017-01-13,2.4616438e-05,0.0002488498,46.257496,52.136955,2.2802504e-07,0.071016416
9,2017-01-16,2.9606206e-05,0.00084416766,16.777206,51.088154,1.48469e-06,0.05657171
10,2017-01-17,0.000232442,0.002993337,7.886291,73.15984,8.804263e-06,0.36940074
11,2017-01-18,5.672646e-05,0.0011945119,20.225122,74.54488,1.41596e-06,0.18011041
12,2017-01-19,0.0005568669,0.0012922168,10.725253,60.788742,3.960425e-07,0.12192361
13,2017-01-20,0.00015908004,0.0006029577,25.508415,45.546116,2.967248e-07,0.07724665
14,2017-01-23,0.00089788716,0.002827365,25.403593,26.933025,4.647831e-06,0.09694939
15,2017-01-24,0.0017281072,0.0021808,6.3749046,48.39797,4.1534342e-05,0.27820203
16,2017-01-25,0.00015265982,0.0005990766,28.233948,51.15275,3.3589753e-08,0.06607879
17,2017-01-26,0.0008351943,0.0023275039,6.088326,50.337566,1.9850977e-06,0.34989843
18,2017-02-03,0.00034338792,0.0037331444,12.63632,33.551815,1.9111452e-05,0.14346261
19,2017-02-06,0.0015729399,0.0036548914,6.5025764,43.983505,5.821027e-07,0.10305354
20,2017-02-07,0.00015220534,0.0050043906,6.818349,48.73874,3.4497596e-05,0.17784956
21,2017-02-08,0.000491643,0.003361789,9.814987,43.761395,6.5949293e-06,0.23671027
22,2017-02-09,0.0003641972,0.0017744661,6.716137,38.29327,1.6066922e-06,0.22472998
23,2017-02-10,9.410162e-05,0.006444661,9.772607,52.005188,2.2200311e-07,0.2664904
24,2017-02-13,0.00039823938,0.0014051205,13.026085,55.62858,6.133505e-07,0.17797033
25,2017-02-14,0.00011186394,0.0021727397,24.583033,35.887543,1.3554905e-05,0.12391484
26,2017-02-15,0.00014413305,0.0009498119,21.781025,53.325706,-3.3720488e-07,0.10107024
27,2017-02-16,7.992904e-05,0.0008398612,15.059876,106.83448,3.6482615e-07,0.23756969
28,2017-02-17,0.000271575,0.0038984139,10.192908,34.1627,8.121276e-06,0.17205697
29,2017-02-20,0.00014385863,0.0010588242,17.874063,71.51884,7.6256146e-07,0.13066058
30,2017-02-21,5.5637433e-05,0.0009740546,22.393547,64.21363,1.3983652e-06,0.09015014
31,2017-02-22,0.0001946373,0.0073781153,10.288788,36.606407,6.563335e-05,0.17085505
32,2017-02-23,3.0767973e-05,0.0027465518,12.254916,38.57474,-3.8577774e-08,0.13144672
33,2017-02-24,6.8616224e-05,0.003325901,19.854614,40.949524,7.148164e-07,0.18392079
34,2017-02-27,0.0003973642,0.010034717,10.885544,48.96907,8.454179e-05,0.1664409
35,2017-02-28,4.036465e-05,0.0009877216,33.760742,42.690804,3.1005907e-06,0.10661877
36,2017-03-01,0.0002504686,0.0005567134,19.684118,44.311752,-8.0506965e-08,0.044314023
37,2017-03-02,0.00013070111,0.0021223507,10.409638,41.590122,-1.0050886e-08,0.07182983
38,2017-03-03,5.6690765e-06,0.000730535,18.3159,57.828335,1.5395403e-07,0.08790841
39,2017-03-06,4.855115e-05,0.0008942236,36.02266,48.66708,1.6346215e-08,0.028180413
40,2017-03-07,6.5977736e-05,0.00052505475,27.722872,57.36467,1.3684406e-08,0.098397
41,2017-03-08,9.9299854e-05,0.00032139954,32.1915,54.086838,4.2281732e-07,0.07434059
42,2017-03-09,0.00022970096,0.0017583924,11.541173,46.551353,3.7407096e-06,0.1274141
43,2017-03-10,0.00012724752,0.0021093434,11.998636,40.876514,9.060697e-09,0.05089447
44,2017-03-13,0.0001293803,0.0035716363,13.323048,53.74845,8.658929e-06,0.12168841
45,2017-03-14,1.5770154e-05,0.0003603279,50.046795,54.104816,4.1452417e-08,0.045653075
46,2017-03-15,4.1482395e-05,0.0046454356,10.365241,27.915174,-4.031966e-09,0.05449529
47,2017-03-16,0.00021439912,0.002677091,15.99031,59.234646,3.3241083e-06,0.10441532
48,2017-03-17,4.8459493e-05,0.0003559534,12.904622,84.011734,-8.656245e-09,0.16517289
49,2017-03-20,0.000112136986,0.0013405276,15.205519,47.080784,5.329571e-07,0.09315284
50,2017-03-21,0.00046504592,0.0039614066,14.991699,46.049786,2.659559e-05,0.1745127
51,2017-03-22,0.00063499075,0.002892747,7.357839,49.535255,4.3856417e-06,0.16823338
52,2017-03-23,7.723987e-06,0.00034959428,22.796852,60.699783,7.405837e-08,0.12470619
53,2017-03-24,0.00041061497,0.00042455058,7.4231887,38.421318,1.6960738e-06,0.08665584
54,2017-03-27,0.00028798255,0.0018898366,21.5044,34.185513,4.5715666e-07,0.10912968
55,2017-03-28,6.28955e-06,0.000333082,38.034664,52.884502,1.0179489e-07,0.057703696
56,2017-03-29,4.8367806e-06,0.00042704158,16.855463,56.56205,6.7888317e-07,0.08774471
57,2017-03-30,5.619809e-05,0.001689636,13.804208,44.07166,5.944932e-06,0.17827676
58,2017-03-31,2.5823503e-05,0.0005509663,17.692307,60.37768,1.7142711e-06,0.27096996
59,2017-04-05,2.5811336e-05,0.018695664,11.131248,37.940723,3.588224e-06,0.2985391
60,2017-04-06,0.00018872978,0.0063476805,12.898311,42.960087,-2.5710983e-07,0.13777262
61,2017-04-07,1.6048776e-05,0.0003051772,35.29745,68.5497,7.061773e-09,0.068308316
62,2017-04-10,0.0001251221,0.0008492105,23.738941,49.875713,2.3047314e-06,0.18599664
63,2017-04-11,1.894267e-05,0.0016369979,15.313509,68.222885,1.7171318e-05,0.16362299
64,2017-04-12,6.3921834e-05,0.0002741552,15.1475315,49.036522,1.5476627e-07,0.09619173
65,2017-04-13,4.000078e-05,0.00083643507,18.920437,70.33561,3.0438133e-07,0.13778645
66,2017-04-14,5.0617455e-05,0.00060197146,23.543552,66.25448,2.1982435e-06,0.15902036
67,2017-04-17,2.666407e-05,0.00022881737,50.259094,28.42237,-1.9957431e-09,0.013974935
68,2017-04-18,2.7166208e-05,0.0007709365,19.046316,67.46049,6.7700506e-07,0.122767575
69,2017-04-19,9.411557e-05,0.0056541166,7.3722825,56.684517,1.2941904e-05,0.11751356
70,2017-04-20,3.4584285e-05,0.00024800142,51.925148,61.69774,8.3205535e-08,0.0819336
71,2017-04-21,0.00014588877,0.003938035,10.875047,49.14835,2.9079249e-07,0.16510172
72,2017-04-24,1.9367728e-05,0.00016142458,16.889116,62.25415,6.772421e-08,0.06940334
73,2017-04-25,9.624821e-05,0.0014715028,12.10363,61.59193,5.9043573e-06,0.070604816
