_id,ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty,year,month,day,hour,minute,second
6020d7cfdc072827cc40bcd2,USDCNH.FXCM,2012-12-31,6.2231,6.2218,6.2231,6.2165,6.2295,6.2248,6.2332,6.2206,4373,2012,12,31,0,0,0
6020d7cfdc072827cc40bcd3,USDCNH.FXCM,2012-12-28,6.2174,6.2231,6.2291,6.2152,6.2298,6.2295,6.2342,6.2237,6758,2012,12,28,0,0,0
6020d7cfdc072827cc40bcd4,USDCNH.FXCM,2012-12-27,6.2281,6.2174,6.232,6.2135,6.2324,6.2298,6.2408,6.2277,7608,2012,12,27,0,0,0
6020d7cfdc072827cc40bcd5,USDCNH.FXCM,2012-12-26,6.2202,6.2281,6.2303,6.2202,6.2243,6.2324,6.2364,6.2243,3974,2012,12,26,0,0,0
6020d7cfdc072827cc40bcd6,USDCNH.FXCM,2012-12-21,6.2099,6.2202,6.2247,6.2084,6.2149,6.2243,6.2317,6.2145,10671,2012,12,21,0,0,0
6020d7cfdc072827cc40bcd7,USDCNH.FXCM,2012-12-20,6.2038,6.2099,6.214,6.2007,6.2073,6.2149,6.2184,6.2061,7970,2012,12,20,0,0,0
6020d7cfdc072827cc40bcd8,USDCNH.FXCM,2012-12-19,6.2066,6.2038,6.2071,6.198,6.2101,6.2073,6.2152,6.2056,6548,2012,12,19,0,0,0
6020d7cfdc072827cc40bcd9,USDCNH.FXCM,2012-12-18,6.213,6.2066,6.2133,6.1985,6.2181,6.2101,6.2222,6.2089,5913,2012,12,18,0,0,0
6020d7cfdc072827cc40bcda,USDCNH.FXCM,2012-12-17,6.2126,6.213,6.2172,6.2029,6.2211,6.2181,6.2221,6.2141,6538,2012,12,17,0,0,0
6020d7cfdc072827cc40bcdb,USDCNH.FXCM,2012-12-14,6.2177,6.2126,6.2234,6.2049,6.223,6.2211,6.2366,6.2183,8489,2012,12,14,0,0,0
6020d7cfdc072827cc40bcdc,USDCNH.FXCM,2012-12-13,6.2221,6.2177,6.2275,6.2151,6.2255,6.223,6.2299,6.2179,8964,2012,12,13,0,0,0
