_id,date,1y,year,month,day,hour,minute,second
5ff1c946c380bd31923cc656,2019-05-17,4.31,2019,5,17,0,0,0
5ff1c946c380bd31923cc657,2019-05-16,4.31,2019,5,16,0,0,0
5ff1c946c380bd31923cc658,2019-05-15,4.31,2019,5,15,0,0,0
5ff1c946c380bd31923cc659,2019-05-14,4.31,2019,5,14,0,0,0
5ff1c946c380bd31923cc65a,2019-05-13,4.31,2019,5,13,0,0,0
5ff1c946c380bd31923cc65b,2019-05-10,4.31,2019,5,10,0,0,0
5ff1c946c380bd31923cc65c,2019-05-09,4.31,2019,5,9,0,0,0
5ff1c946c380bd31923cc65d,2019-05-08,4.31,2019,5,8,0,0,0
5ff1c946c380bd31923cc65e,2019-05-07,4.31,2019,5,7,0,0,0
5ff1c946c380bd31923cc65f,2019-05-06,4.31,2019,5,6,0,0,0
5ff1c946c380bd31923cc660,2019-04-30,4.31,2019,4,30,0,0,0
5ff1c946c380bd31923cc661,2019-04-29,4.31,2019,4,29,0,0,0
5ff1c946c380bd31923cc662,2019-04-26,4.31,2019,4,26,0,0,0
5ff1c946c380bd31923cc663,2019-04-25,4.31,2019,4,25,0,0,0
5ff1c946c380bd31923cc664,2019-04-24,4.31,2019,4,24,0,0,0
5ff1c946c380bd31923cc665,2019-04-23,4.31,2019,4,23,0,0,0
5ff1c946c380bd31923cc666,2019-04-22,4.31,2019,4,22,0,0,0
5ff1c946c380bd31923cc667,2019-04-19,4.31,2019,4,19,0,0,0
5ff1c946c380bd31923cc668,2019-04-18,4.31,2019,4,18,0,0,0
5ff1c946c380bd31923cc669,2019-04-17,4.31,2019,4,17,0,0,0
5ff1c946c380bd31923cc66a,2019-04-16,4.31,2019,4,16,0,0,0
5ff1c946c380bd31923cc66b,2019-04-15,4.31,2019,4,15,0,0,0
5ff1c946c380bd31923cc66c,2019-04-12,4.31,2019,4,12,0,0,0
5ff1c946c380bd31923cc66d,2019-04-11,4.31,2019,4,11,0,0,0
5ff1c946c380bd31923cc66e,2019-04-10,4.31,2019,4,10,0,0,0
5ff1c946c380bd31923cc66f,2019-04-09,4.31,2019,4,9,0,0,0
5ff1c946c380bd31923cc670,2019-04-08,4.31,2019,4,8,0,0,0
5ff1c946c380bd31923cc671,2019-04-04,4.31,2019,4,4,0,0,0
5ff1c946c380bd31923cc672,2019-04-03,4.31,2019,4,3,0,0,0
5ff1c946c380bd31923cc673,2019-04-02,4.31,2019,4,2,0,0,0
5ff1c946c380bd31923cc674,2019-04-01,4.31,2019,4,1,0,0,0
5ff1c946c380bd31923cc675,2019-03-29,4.31,2019,3,29,0,0,0
5ff1c946c380bd31923cc676,2019-03-28,4.31,2019,3,28,0,0,0
5ff1c946c380bd31923cc677,2019-03-27,4.31,2019,3,27,0,0,0
5ff1c946c380bd31923cc678,2019-03-26,4.31,2019,3,26,0,0,0
5ff1c946c380bd31923cc679,2019-03-25,4.31,2019,3,25,0,0,0
5ff1c946c380bd31923cc67a,2019-03-22,4.31,2019,3,22,0,0,0
5ff1c946c380bd31923cc67b,2019-03-21,4.31,2019,3,21,0,0,0
5ff1c946c380bd31923cc67c,2019-03-20,4.31,2019,3,20,0,0,0
5ff1c946c380bd31923cc67d,2019-03-19,4.31,2019,3,19,0,0,0
5ff1c946c380bd31923cc67e,2019-03-18,4.31,2019,3,18,0,0,0
5ff1c946c380bd31923cc67f,2019-03-15,4.31,2019,3,15,0,0,0
5ff1c946c380bd31923cc680,2019-03-14,4.31,2019,3,14,0,0,0
5ff1c946c380bd31923cc681,2019-03-13,4.31,2019,3,13,0,0,0
5ff1c946c380bd31923cc682,2019-03-12,4.31,2019,3,12,0,0,0
5ff1c946c380bd31923cc683,2019-03-11,4.31,2019,3,11,0,0,0
5ff1c946c380bd31923cc684,2019-03-08,4.31,2019,3,8,0,0,0
5ff1c946c380bd31923cc685,2019-03-07,4.31,2019,3,7,0,0,0
5ff1c946c380bd31923cc686,2019-03-06,4.31,2019,3,6,0,0,0
5ff1c946c380bd31923cc687,2019-03-05,4.31,2019,3,5,0,0,0
5ff1c946c380bd31923cc688,2019-03-04,4.31,2019,3,4,0,0,0
5ff1c946c380bd31923cc689,2019-03-01,4.31,2019,3,1,0,0,0
5ff1c946c380bd31923cc68a,2019-02-28,4.31,2019,2,28,0,0,0
5ff1c946c380bd31923cc68b,2019-02-27,4.31,2019,2,27,0,0,0
5ff1c946c380bd31923cc68c,2019-02-26,4.31,2019,2,26,0,0,0
5ff1c946c380bd31923cc68d,2019-02-25,4.31,2019,2,25,0,0,0
5ff1c946c380bd31923cc68e,2019-02-22,4.31,2019,2,22,0,0,0
5ff1c946c380bd31923cc68f,2019-02-21,4.31,2019,2,21,0,0,0
5ff1c946c380bd31923cc690,2019-02-20,4.31,2019,2,20,0,0,0
5ff1c946c380bd31923cc691,2019-02-19,4.31,2019,2,19,0,0,0
5ff1c946c380bd31923cc692,2019-02-18,4.31,2019,2,18,0,0,0
5ff1c946c380bd31923cc693,2019-02-15,4.31,2019,2,15,0,0,0
5ff1c946c380bd31923cc694,2019-02-14,4.31,2019,2,14,0,0,0
5ff1c946c380bd31923cc695,2019-02-13,4.31,2019,2,13,0,0,0
5ff1c946c380bd31923cc696,2019-02-12,4.31,2019,2,12,0,0,0
5ff1c946c380bd31923cc697,2019-02-11,4.31,2019,2,11,0,0,0
5ff1c946c380bd31923cc698,2019-02-01,4.31,2019,2,1,0,0,0
5ff1c946c380bd31923cc699,2019-01-31,4.31,2019,1,31,0,0,0
5ff1c946c380bd31923cc69a,2019-01-30,4.31,2019,1,30,0,0,0
5ff1c946c380bd31923cc69b,2019-01-29,4.31,2019,1,29,0,0,0
5ff1c946c380bd31923cc69c,2019-01-28,4.31,2019,1,28,0,0,0
5ff1c946c380bd31923cc69d,2019-01-25,4.31,2019,1,25,0,0,0
5ff1c946c380bd31923cc69e,2019-01-24,4.31,2019,1,24,0,0,0
5ff1c946c380bd31923cc69f,2019-01-23,4.31,2019,1,23,0,0,0
5ff1c946c380bd31923cc6a0,2019-01-22,4.31,2019,1,22,0,0,0
5ff1c946c380bd31923cc6a1,2019-01-21,4.31,2019,1,21,0,0,0
5ff1c946c380bd31923cc6a2,2019-01-18,4.31,2019,1,18,0,0,0
5ff1c946c380bd31923cc6a3,2019-01-17,4.31,2019,1,17,0,0,0
5ff1c946c380bd31923cc6a4,2019-01-16,4.31,2019,1,16,0,0,0
5ff1c946c380bd31923cc6a5,2019-01-15,4.31,2019,1,15,0,0,0
5ff1c946c380bd31923cc6a6,2019-01-14,4.31,2019,1,14,0,0,0
5ff1c946c380bd31923cc6a7,2019-01-11,4.31,2019,1,11,0,0,0
5ff1c946c380bd31923cc6a8,2019-01-10,4.31,2019,1,10,0,0,0
5ff1c946c380bd31923cc6a9,2019-01-09,4.31,2019,1,9,0,0,0
5ff1c946c380bd31923cc6aa,2019-01-08,4.31,2019,1,8,0,0,0
5ff1c946c380bd31923cc6ab,2019-01-07,4.31,2019,1,7,0,0,0
5ff1c946c380bd31923cc6ac,2019-01-04,4.31,2019,1,4,0,0,0
5ff1c946c380bd31923cc6ad,2019-01-03,4.31,2019,1,3,0,0,0
5ff1c946c380bd31923cc6ae,2019-01-02,4.31,2019,1,2,0,0,0
5ff1c946c380bd31923cc6af,2018-12-28,4.31,2018,12,28,0,0,0
5ff1c946c380bd31923cc6b0,2018-12-27,4.31,2018,12,27,0,0,0
5ff1c946c380bd31923cc6b1,2018-12-26,4.31,2018,12,26,0,0,0
5ff1c946c380bd31923cc6b2,2018-12-25,4.31,2018,12,25,0,0,0
5ff1c946c380bd31923cc6b3,2018-12-24,4.31,2018,12,24,0,0,0
5ff1c946c380bd31923cc6b4,2018-12-21,4.31,2018,12,21,0,0,0
5ff1c946c380bd31923cc6b5,2018-12-20,4.31,2018,12,20,0,0,0
5ff1c946c380bd31923cc6b6,2018-12-19,4.31,2018,12,19,0,0,0
5ff1c946c380bd31923cc6b7,2018-12-18,4.31,2018,12,18,0,0,0
5ff1c946c380bd31923cc6b8,2018-12-17,4.31,2018,12,17,0,0,0
5ff1c946c380bd31923cc6b9,2018-12-14,4.31,2018,12,14,0,0,0
5ff1c946c380bd31923cc6ba,2018-12-13,4.31,2018,12,13,0,0,0
5ff1c946c380bd31923cc6bb,2018-12-12,4.31,2018,12,12,0,0,0
5ff1c946c380bd31923cc6bc,2018-12-11,4.31,2018,12,11,0,0,0
5ff1c946c380bd31923cc6bd,2018-12-10,4.31,2018,12,10,0,0,0
5ff1c946c380bd31923cc6be,2018-12-07,4.31,2018,12,7,0,0,0
5ff1c946c380bd31923cc6bf,2018-12-06,4.31,2018,12,6,0,0,0
5ff1c946c380bd31923cc6c0,2018-12-05,4.31,2018,12,5,0,0,0
5ff1c946c380bd31923cc6c1,2018-12-04,4.31,2018,12,4,0,0,0
5ff1c946c380bd31923cc6c2,2018-12-03,4.31,2018,12,3,0,0,0
5ff1c946c380bd31923cc6c3,2018-11-30,4.31,2018,11,30,0,0,0
5ff1c946c380bd31923cc6c4,2018-11-29,4.31,2018,11,29,0,0,0
5ff1c946c380bd31923cc6c5,2018-11-28,4.31,2018,11,28,0,0,0
5ff1c946c380bd31923cc6c6,2018-11-27,4.31,2018,11,27,0,0,0
5ff1c946c380bd31923cc6c7,2018-11-26,4.31,2018,11,26,0,0,0
5ff1c946c380bd31923cc6c8,2018-11-23,4.31,2018,11,23,0,0,0
5ff1c946c380bd31923cc6c9,2018-11-22,4.31,2018,11,22,0,0,0
5ff1c946c380bd31923cc6ca,2018-11-21,4.31,2018,11,21,0,0,0
5ff1c946c380bd31923cc6cb,2018-11-20,4.31,2018,11,20,0,0,0
5ff1c946c380bd31923cc6cc,2018-11-19,4.31,2018,11,19,0,0,0
5ff1c946c380bd31923cc6cd,2018-11-16,4.31,2018,11,16,0,0,0
5ff1c946c380bd31923cc6ce,2018-11-15,4.31,2018,11,15,0,0,0
5ff1c946c380bd31923cc6cf,2018-11-14,4.31,2018,11,14,0,0,0
5ff1c946c380bd31923cc6d0,2018-11-13,4.31,2018,11,13,0,0,0
5ff1c946c380bd31923cc6d1,2018-11-12,4.31,2018,11,12,0,0,0
5ff1c946c380bd31923cc6d2,2018-11-09,4.31,2018,11,9,0,0,0
5ff1c946c380bd31923cc6d3,2018-11-08,4.31,2018,11,8,0,0,0
5ff1c946c380bd31923cc6d4,2018-11-07,4.31,2018,11,7,0,0,0
5ff1c946c380bd31923cc6d5,2018-11-06,4.31,2018,11,6,0,0,0
5ff1c946c380bd31923cc6d6,2018-11-05,4.31,2018,11,5,0,0,0
5ff1c946c380bd31923cc6d7,2018-11-02,4.31,2018,11,2,0,0,0
5ff1c946c380bd31923cc6d8,2018-11-01,4.31,2018,11,1,0,0,0
5ff1c946c380bd31923cc6d9,2018-10-31,4.31,2018,10,31,0,0,0
5ff1c946c380bd31923cc6da,2018-10-30,4.31,2018,10,30,0,0,0
5ff1c946c380bd31923cc6db,2018-10-29,4.31,2018,10,29,0,0,0
5ff1c946c380bd31923cc6dc,2018-10-26,4.31,2018,10,26,0,0,0
5ff1c946c380bd31923cc6dd,2018-10-25,4.31,2018,10,25,0,0,0
5ff1c946c380bd31923cc6de,2018-10-24,4.31,2018,10,24,0,0,0
5ff1c946c380bd31923cc6df,2018-10-23,4.31,2018,10,23,0,0,0
5ff1c946c380bd31923cc6e0,2018-10-22,4.31,2018,10,22,0,0,0
5ff1c946c380bd31923cc6e1,2018-10-19,4.31,2018,10,19,0,0,0
5ff1c946c380bd31923cc6e2,2018-10-18,4.31,2018,10,18,0,0,0
5ff1c946c380bd31923cc6e3,2018-10-17,4.31,2018,10,17,0,0,0
5ff1c946c380bd31923cc6e4,2018-10-16,4.31,2018,10,16,0,0,0
5ff1c946c380bd31923cc6e5,2018-10-15,4.31,2018,10,15,0,0,0
5ff1c946c380bd31923cc6e6,2018-10-12,4.31,2018,10,12,0,0,0
5ff1c946c380bd31923cc6e7,2018-10-11,4.31,2018,10,11,0,0,0
5ff1c946c380bd31923cc6e8,2018-10-10,4.31,2018,10,10,0,0,0
5ff1c946c380bd31923cc6e9,2018-10-09,4.31,2018,10,9,0,0,0
5ff1c946c380bd31923cc6ea,2018-10-08,4.31,2018,10,8,0,0,0
5ff1c946c380bd31923cc6eb,2018-09-30,4.31,2018,9,30,0,0,0
5ff1c946c380bd31923cc6ec,2018-09-29,4.31,2018,9,29,0,0,0
5ff1c946c380bd31923cc6ed,2018-09-28,4.31,2018,9,28,0,0,0
5ff1c946c380bd31923cc6ee,2018-09-27,4.31,2018,9,27,0,0,0
5ff1c946c380bd31923cc6ef,2018-09-26,4.31,2018,9,26,0,0,0
5ff1c946c380bd31923cc6f0,2018-09-25,4.31,2018,9,25,0,0,0
5ff1c946c380bd31923cc6f1,2018-09-21,4.31,2018,9,21,0,0,0
5ff1c946c380bd31923cc6f2,2018-09-20,4.31,2018,9,20,0,0,0
5ff1c946c380bd31923cc6f3,2018-09-19,4.31,2018,9,19,0,0,0
5ff1c946c380bd31923cc6f4,2018-09-18,4.31,2018,9,18,0,0,0
5ff1c946c380bd31923cc6f5,2018-09-17,4.31,2018,9,17,0,0,0
5ff1c946c380bd31923cc6f6,2018-09-14,4.31,2018,9,14,0,0,0
5ff1c946c380bd31923cc6f7,2018-09-13,4.31,2018,9,13,0,0,0
5ff1c946c380bd31923cc6f8,2018-09-12,4.31,2018,9,12,0,0,0
5ff1c946c380bd31923cc6f9,2018-09-11,4.31,2018,9,11,0,0,0
5ff1c946c380bd31923cc6fa,2018-09-10,4.31,2018,9,10,0,0,0
