_id,trading_date,0S,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y,40Y,50Y,year,month,day,hour,minute,second
5ff1f6425c3c623e8d310891,2010-01-22 00:00:1264089600,0.008233,0.0100254893,0.0118180001,0.0130340004,0.0146623403,0.0153740001,0.0160662278,0.0212280011,0.0254810088,0.0290779996,0.0301549861,0.0321989989,0.0335241255,0.0345772534,0.035429412,0.0363,0.0400035685,0.0409075022,0.0419,0.0425,0.0431,2010,1,22,0,0,0
5ff1f6425c3c623e8d310892,2010-01-25 00:00:1264348800,0.0096890002,0.0106829944,0.0116770005,0.012967,0.0144857829,0.015428222,0.0161468656,0.0211,0.0255430116,0.029144001,0.0303430215,0.0321939993,0.0334055887,0.0343802584,0.0351819208,0.036,0.0399261583,0.040758,0.041799,0.042399,0.042999,2010,1,25,0,0,0
5ff1f6425c3c623e8d310893,2010-01-26 00:00:1264435200,0.0097680002,0.0108159941,0.0118640006,0.0128340006,0.0141714293,0.0154452205,0.016346,0.0207500005,0.0253171192,0.0292409992,0.0300461666,0.0321930003,0.0330543184,0.0339673495,0.0349056033,0.0358377839,0.0398910345,0.0406580019,0.0417980003,0.0423979998,0.0429979992,2010,1,26,0,0,0
5ff1f6425c3c623e8d310894,2010-01-27 00:00:1264521600,0.0109599996,0.0114869968,0.0120140004,0.0126460546,0.0140780961,0.01554322,0.0163460004,0.0205500007,0.0250569716,0.0289409995,0.0298410999,0.0320129991,0.0328075626,0.0337219815,0.0346946019,0.0356479466,0.039894673,0.0406579924,0.0417977905,0.04239779,0.0429977894,2010,1,27,0,0,0
5ff1f6425c3c623e8d310895,2010-01-28 00:00:1264608000,0.0113979995,0.0117079978,0.0120179999,0.0126462901,0.0142,0.0159072196,0.0164460003,0.0206999993,0.0250915923,0.0289619994,0.030019,0.032112999,0.0329941076,0.0339461696,0.0349290132,0.0358794667,0.039585,0.0406579924,0.0417139639,0.0423357916,0.042935791,2010,1,28,0,0,0
5ff1f6425c3c623e8d310896,2010-01-29 00:00:1264694400,0.0114020002,0.0119881168,0.0125223757,0.0126592898,0.0141037626,0.0158182204,0.0165289998,0.020796001,0.0250626785,0.0287529993,0.0300134729,0.0321079993,0.0328382542,0.033758114,0.0347886716,0.0358,0.0392905153,0.0405589914,0.0416712488,0.0422857904,0.0428857899,2010,1,29,0,0,0
5ff1f6425c3c623e8d310897,2010-02-01 00:00:1264953600,0.0113559997,0.0119396866,0.0125233805,0.0128962898,0.0142327546,0.0155,0.0164450002,0.0209150004,0.025059903,0.0284030008,0.0295575601,0.0315,0.032434,0.0333994815,0.0344027407,0.035406,0.0391949995,0.0405429888,0.0417243547,0.0423377895,0.042937789,2010,2,1,0,0,0
5ff1f6425c3c623e8d310898,2010-02-02 00:00:1265040000,0.0113849998,0.0120978801,0.0127625174,0.0131959999,0.0141625137,0.0152999997,0.0164460003,0.0209114082,0.0250527664,0.028203001,0.0294324878,0.0314499998,0.032282096,0.0331581082,0.0340593054,0.034956,0.0390832479,0.0405066535,0.0417924577,0.042368,0.042969,2010,2,2,0,0,0
5ff1f6425c3c623e8d310899,2010-02-03 00:00:1265126400,0.0113769996,0.0123794428,0.0129868679,0.013096,0.0141813847,0.0150800002,0.0164460003,0.0207181768,0.0250955014,0.0281329989,0.0294531039,0.0315,0.0321301522,0.0328976087,0.0337949604,0.0346483727,0.0389685009,0.0403590579,0.0417861002,0.0423678017,0.0429687977,2010,2,3,0,0,0
5ff1f6425c3c623e8d31089a,2010-02-04 00:00:1265212800,0.0113849998,0.0125262604,0.0129291071,0.0129639995,0.0142069256,0.0149119997,0.0164470005,0.0206800739,0.025120044,0.028204,0.0293832506,0.0314,0.0320963119,0.0329930222,0.0340326113,0.0350058269,0.0391,0.04031,0.0417702387,0.0423681307,0.0429691315,2010,2,4,0,0,0
5ff1f6425c3c623e8d31089b,2010-02-05 00:00:1265299200,0.0113929999,0.012397384,0.0131041581,0.0132640004,0.0140944149,0.014916,0.0165320003,0.020741302,0.0250141223,0.0282150006,0.0293720779,0.0311815958,0.0319284726,0.0326477578,0.0337783949,0.0347326776,0.0389363617,0.040310998,0.0417702387,0.0423670006,0.0429680014,2010,2,5,0,0,0
5ff1f6425c3c623e8d31089c,2010-02-08 00:00:1265558400,0.0113769996,0.0125104729,0.0132773604,0.0134640002,0.0140614975,0.0149510002,0.0164470005,0.0207278413,0.0249221079,0.028,0.0294651368,0.0307874611,0.032,0.0329905688,0.0338305584,0.0347063195,0.038806361,0.0403288164,0.041793646,0.0423680019,0.042968998,2010,2,8,0,0,0
5ff1f6425c3c623e8d31089d,2010-02-09 00:00:1265644800,0.0118599999,0.0125677461,0.0131289574,0.0134010005,0.0140380355,0.014914,0.0164479995,0.0207413634,0.0249825307,0.0279,0.0294888408,0.0308687777,0.0319646146,0.0328770331,0.0338152214,0.0347428802,0.0388014551,0.0403297801,0.0417937659,0.0423670006,0.0429680014,2010,2,9,0,0,0
5ff1f6425c3c623e8d31089e,2010-02-10 00:00:1265731200,0.012802,0.0129580254,0.0131798935,0.0135220003,0.0141579325,0.0149300003,0.0164470005,0.0207544063,0.0249274831,0.027821,0.0295079882,0.0308650544,0.0319935517,0.0328978332,0.0337533181,0.0346149916,0.038824337,0.0403307146,0.0417939743,0.0423680019,0.042968998,2010,2,10,0,0,0
5ff1f6425c3c623e8d31089f,2010-02-11 00:00:1265817600,0.0138020003,0.0137886089,0.0138101118,0.0138699996,0.0140956452,0.0151440001,0.0165470004,0.0209399707,0.0249100562,0.027891,0.0295011976,0.0308779143,0.0318636262,0.032683386,0.0336066317,0.0345164582,0.0387365585,0.0403460588,0.0417939785,0.0423670006,0.0429680014,2010,2,11,0,0,0
5ff1f6425c3c623e8d3108a0,2010-02-12 00:00:1265904000,0.0133319998,0.0133179965,0.0134254679,0.0136919999,0.0141650345,0.0150779998,0.0166,0.0209213594,0.0249343569,0.027994,0.029601,0.0309164881,0.0318668493,0.032704951,0.0336408667,0.0345698111,0.038736,0.0402773238,0.0417943264,0.0423670006,0.0429680014,2010,2,12,0,0,0
5ff1f6425c3c623e8d3108a1,2010-02-20 00:00:1266595200,0.0128320003,0.0131849983,0.0135380006,0.0138010001,0.014203834,0.0154729998,0.0167929995,0.0211727633,0.0252186305,0.028257,0.0298109217,0.0311253367,0.0321407659,0.0330113445,0.0339538208,0.0348893127,0.0388460665,0.0403312031,0.0417953199,0.0423689985,0.0429699993,2010,2,20,0,0,0
5ff1f6425c3c623e8d3108a2,2010-02-21 00:00:1266681600,0.0120319998,0.0126362889,0.0132405853,0.013513,0.0141704251,0.0154770005,0.0167929995,0.0214479064,0.0251858226,0.0283570004,0.0296976475,0.0311406099,0.0322,0.0330251367,0.033934428,0.0348411219,0.0390794468,0.0403668059,0.0419,0.0424189997,0.0430200005,2010,2,21,0,0,0
5ff1f6425c3c623e8d3108a3,2010-02-22 00:00:1266768000,0.01153,0.0124438021,0.01330459,0.0135769999,0.0141825327,0.0154849994,0.0167999995,0.0214046461,0.0252024863,0.028357,0.0297018978,0.031128352,0.0321261628,0.0330156566,0.0340921191,0.0351490927,0.0390233238,0.0403637415,0.0420135675,0.0425010014,0.0431020021,2010,2,22,0,0,0
5ff1f6425c3c623e8d3108a4,2010-02-23 00:00:1266854400,0.0115380001,0.0125512107,0.0133105898,0.013544908,0.0138122602,0.015115,0.0168009996,0.0213661987,0.025236829,0.028544,0.0298364683,0.0311253786,0.0321572457,0.033089285,0.0340989401,0.0351002244,0.0390344608,0.0403631733,0.0419624445,0.0424529982,0.0430539989,2010,2,23,0,0,0
5ff1f6425c3c623e8d3108a5,2010-02-24 00:00:1266940800,0.0115919995,0.0123987404,0.0130755901,0.0133646568,0.013793832,0.0151189995,0.016801,0.0213278871,0.0252277068,0.028171,0.0294374254,0.0307775668,0.032159,0.0332422356,0.0339368455,0.0346458484,0.0391098515,0.0402987481,0.0416914486,0.0423530006,0.0429540014,2010,2,24,0,0,0
5ff1f6425c3c623e8d3108a6,2010-02-25 00:00:1267027200,0.0117379999,0.0124087907,0.0130795896,0.0135626602,0.0138431449,0.0151230001,0.0168009996,0.0211571166,0.0251728092,0.027671,0.0291002626,0.0305035788,0.0321272353,0.0332444403,0.0338155287,0.034448083,0.038758,0.0401520701,0.041442,0.0424109983,0.0430119991,2010,2,25,0,0,0
5ff1f6425c3c623e8d3108a7,2010-02-26 00:00:1267113600,0.0115320003,0.0121441512,0.0127563095,0.0132436597,0.0137771622,0.0150829995,0.0162940001,0.0206658362,0.0245655544,0.026717696,0.0286541765,0.029769,0.0312834458,0.0323361348,0.0330235043,0.0337534892,0.0384582302,0.0399341553,0.040842,0.041911,0.042612,2010,2,26,0,0,0
5ff1f6425c3c623e8d3108a8,2010-03-01 00:00:1267372800,0.0115120006,0.0121346514,0.0127573097,0.0132429784,0.0138921916,0.0151830006,0.0160940003,0.0207397409,0.0240877137,0.0263218026,0.0281136613,0.0295450634,0.0309826775,0.0320466518,0.0328109888,0.033613046,0.0382221169,0.0399713607,0.0409759897,0.0419789982,0.0426800013,2010,3,1,0,0,0
5ff1f6425c3c623e8d3108a9,2010-03-02 00:00:1267459200,0.0114789999,0.0120686514,0.0126583099,0.0131727836,0.0136040308,0.014701,0.015396,0.0206429308,0.0239823919,0.0260188717,0.0279398982,0.0293,0.0309153475,0.03200315,0.0326819844,0.0334136276,0.0380725453,0.0400490227,0.0409413397,0.0419119978,0.0426130009,2010,3,2,0,0,0
5ff1f6425c3c623e8d3108aa,2010-03-03 00:00:1267545600,0.0113119996,0.0118601516,0.0124083102,0.0129504149,0.0136766464,0.0142509997,0.015,0.0206321972,0.0237358512,0.0253908338,0.0275912538,0.0288,0.030419,0.0316398747,0.0323928497,0.0331692245,0.0378623714,0.040051691,0.0409350627,0.0419129992,0.0426140022,2010,3,3,0,0,0
5ff1f6425c3c623e8d3108ab,2010-03-04 00:00:1267632000,0.0112539995,0.0118111512,0.0123683095,0.0129120642,0.0137473369,0.0142680001,0.0150999999,0.020593722,0.0240374039,0.0257508302,0.0274239204,0.0292193683,0.0309,0.0320856444,0.032789253,0.0335176206,0.0380084906,0.0400379065,0.04088398,0.0418639994,0.0425649977,2010,3,4,0,0,0
5ff1f6425c3c623e8d3108ac,2010-03-05 00:00:1267718400,0.0110790002,0.0117251512,0.01237131,0.0129226066,0.0137157854,0.014253,0.0152030003,0.0205955506,0.0238363891,0.0255338005,0.027,0.028998,0.0304017025,0.0315429699,0.0325231594,0.0335366116,0.0381619414,0.0400511574,0.0409486834,0.0419150019,0.0426160002,2010,3,5,0,0,0
5ff1f6425c3c623e8d3108ad,2010-03-08 00:00:1267977600,0.0110220003,0.0115851517,0.0121483099,0.0128653053,0.0136614147,0.0143019998,0.0151049995,0.0206400461,0.0236750183,0.0255,0.0268883687,0.0287423303,0.030102,0.0312594616,0.0324316156,0.0336019151,0.0380137517,0.0400910244,0.0409335681,0.0419159985,0.0426170015,2010,3,8,0,0,0
5ff1f6425c3c623e8d3108ae,2010-03-09 00:00:1268064000,0.0109000003,0.0116401509,0.0123803103,0.0130201233,0.0137192773,0.0143239999,0.0151059997,0.020554049,0.0236380098,0.0255999994,0.0268740349,0.0287,0.0298428825,0.031120261,0.0324787095,0.0338170638,0.037938928,0.0400518002,0.0408010154,0.0417850018,0.0424860001,2010,3,9,0,0,0
5ff1f6425c3c623e8d3108af,2010-03-10 00:00:1268150400,0.0108290005,0.0116196508,0.0124103105,0.0130540291,0.0137180321,0.0143420005,0.0153638241,0.020536404,0.0238168226,0.0257500005,0.0268737841,0.0290259344,0.029801,0.0307239562,0.0324017268,0.0340297363,0.0378506185,0.0400522695,0.0408006215,0.0417840004,0.0424849987,2010,3,10,0,0,0
5ff1f6425c3c623e8d3108b0,2010-03-11 00:00:1268236800,0.0108000004,0.0116206501,0.0124413097,0.0130833246,0.0137252349,0.0141950645,0.0152735084,0.0205587929,0.0238428325,0.0256147864,0.0269663254,0.0293240295,0.030301,0.0312996286,0.0329520937,0.0345589474,0.0378030708,0.0400527492,0.0408007754,0.0418340015,0.0425349998,2010,3,11,0,0,0
5ff1f6425c3c623e8d3108b1,2010-03-12 00:00:1268323200,0.0106830001,0.0115396502,0.0123963106,0.0133241036,0.0137195858,0.0141310596,0.0153775096,0.0202,0.0239216011,0.0256456245,0.0270017652,0.0295468637,0.0302584686,0.0313760719,0.0330137568,0.0345261258,0.0378522138,0.040089214,0.0409511826,0.0419339991,0.0426350021,2010,3,12,0,0,0
5ff1f6425c3c623e8d3108b2,2010-03-15 00:00:1268582400,0.0106120002,0.0116106492,0.0126093102,0.0133133494,0.013724424,0.0142154648,0.01527951,0.0198589904,0.02362,0.0255641648,0.0269330793,0.0292911078,0.030656,0.0318063036,0.0331541385,0.0344843769,0.0378642122,0.0401025258,0.041,0.0418860006,0.0425869989,2010,3,15,0,0,0
5ff1f6425c3c623e8d3108b3,2010-03-16 00:00:1268668800,0.0105910003,0.0116231487,0.0126553094,0.0133592999,0.0136886156,0.0142364597,0.0152805102,0.0194853542,0.0233,0.0253641605,0.0269842117,0.0290303569,0.0308440006,0.0321417022,0.0332088656,0.0343307149,0.0378739333,0.0400251612,0.0409945803,0.041881,0.042582,2010,3,16,0,0,0
5ff1f6425c3c623e8d3108b4,2010-03-17 00:00:1268755200,0.0105330002,0.0115961488,0.0126593101,0.013398387,0.0136246625,0.0142854595,0.0152805102,0.0196027949,0.023121,0.0251641607,0.0267288344,0.0287862798,0.030346,0.0315979928,0.0327094889,0.033828989,0.0376519792,0.0400536919,0.0410581262,0.0419000006,0.0426009989,2010,3,17,0,0,0
5ff1f6425c3c623e8d3108b5,2010-03-18 00:00:1268841600,0.0105040002,0.0116827573,0.0128593099,0.0134945951,0.0136280417,0.0143044603,0.0151805103,0.0195152673,0.0231004307,0.0249641609,0.026840688,0.0286964201,0.0299022199,0.0310751121,0.032374575,0.0336391161,0.0379519016,0.0400521806,0.0410679182,0.0418989992,0.0426000023,2010,3,18,0,0,0
5ff1f6425c3c623e8d3108b6,2010-03-19 00:00:1268928000,0.0104960001,0.011630148,0.0127643096,0.0131946003,0.0134694934,0.0142384601,0.0151845098,0.0195341511,0.0231385512,0.0249521589,0.02684918,0.0286621987,0.0298200654,0.0309799174,0.0324057254,0.0338050992,0.0379845089,0.0400280726,0.041,0.04185,0.0426009989,2010,3,19,0,0,0
5ff1f6425c3c623e8d3108b7,2010-03-22 00:00:1269187200,0.0104209995,0.0118550592,0.0130493104,0.0132700631,0.0134778205,0.0142924595,0.0150825095,0.0195751316,0.0231483475,0.0250863661,0.0268405949,0.0291725539,0.030166019,0.0311852512,0.0327280175,0.0342160099,0.0379046593,0.0400545273,0.0410702795,0.0419,0.042651,2010,3,22,0,0,0
5ff1f6425c3c623e8d3108b8,2010-03-23 00:00:1269273600,0.0104040003,0.0119385898,0.0130813098,0.0132680595,0.0134821733,0.0143614602,0.0151746014,0.0196767259,0.023132983,0.0251197494,0.0271423242,0.0292770119,0.0302380501,0.0314674353,0.0327702645,0.0340618186,0.037934836,0.0400550802,0.0410703629,0.0419000006,0.042651,2010,3,23,0,0,0
5ff1f6425c3c623e8d3108b9,2010-03-24 00:00:1269360000,0.0103910005,0.0119498462,0.0130943096,0.0132700598,0.0134841053,0.01433846,0.0151756001,0.0196970491,0.0231375047,0.0251242033,0.0273176684,0.0295308179,0.0302346637,0.0313674909,0.0326752499,0.0339613951,0.0379042285,0.0400563855,0.0410683027,0.0419010019,0.0426520014,2010,3,24,0,0,0
5ff1f6425c3c623e8d3108ba,2010-03-25 00:00:1269446400,0.0103540003,0.0119930823,0.0131363106,0.0132700598,0.0134937707,0.0143854594,0.0150756001,0.0196611048,0.0228628862,0.0251259178,0.0273248174,0.0295461697,0.0303395052,0.0315237244,0.0328556508,0.0341678638,0.0380242062,0.0400596326,0.04112,0.0419500017,0.0427010012,2010,3,25,0,0,0
5ff1f6425c3c623e8d3108bb,2010-03-26 00:00:1269532800,0.0103129995,0.0116631013,0.0126353976,0.01277,0.0136200193,0.0144244599,0.015181,0.0196629114,0.0228214049,0.0251837392,0.0273173435,0.0297782211,0.0304908249,0.031714222,0.0331631526,0.0345818514,0.0380998893,0.0400699541,0.04117,0.0419999981,0.0427510023,2010,3,26,0,0,0
5ff1f6425c3c623e8d3108bc,2010-03-29 00:00:1269792000,0.0102960002,0.0113712639,0.0122328483,0.0124555054,0.0141439185,0.0145274603,0.0150759995,0.0197103735,0.0228480913,0.0255093202,0.0278670288,0.03029652,0.0308068055,0.0316581233,0.033268551,0.0347843143,0.0381458238,0.040125976,0.04107,0.0419000006,0.042651,2010,3,29,0,0,0
5ff1f6425c3c623e8d3108bd,2010-03-30 00:00:1269878400,0.0102170002,0.0110621702,0.01183285,0.0120946574,0.0142164238,0.0148,0.015301,0.0199272389,0.0232625216,0.0257192809,0.0279914883,0.0301889683,0.03114,0.032108895,0.033560469,0.0349585118,0.0383489639,0.0400396938,0.0410415808,0.041868,0.042619,2010,3,30,0,0,0
5ff1f6425c3c623e8d3108be,2010-03-31 00:00:1269964800,0.0106589997,0.0113423143,0.01193385,0.0121122739,0.0141361973,0.0148140001,0.015501,0.0201366838,0.023317919,0.0256604733,0.0279228169,0.0301497274,0.0308151914,0.0317314772,0.0333193858,0.0348179698,0.0382251779,0.0400426239,0.0410331212,0.0418669987,0.0426179981,2010,3,31,0,0,0
5ff1f6425c3c623e8d3108bf,2010-04-01 00:00:1270051200,0.010316,0.0112528532,0.0119704573,0.0121226255,0.0142699738,0.0148880005,0.0157821176,0.020277,0.0233649449,0.0256635776,0.0277793764,0.0301697417,0.0309,0.0317589446,0.0332879412,0.0347417618,0.0381364909,0.0400448679,0.0410278161,0.041862,0.042613,2010,4,1,0,0,0
5ff1f6425c3c623e8d3108c0,2010-04-02 00:00:1270137600,0.0103960001,0.0111675624,0.0118524599,0.012061814,0.0143296882,0.0149800003,0.0159471202,0.020164944,0.0233590842,0.0257213433,0.0277412382,0.0302122768,0.0308111389,0.0316985243,0.0332975198,0.0347998642,0.038328,0.0399773272,0.0411329302,0.0419665003,0.0427174997,2010,4,2,0,0,0
5ff1f6425c3c623e8d3108c1,2010-04-06 00:00:1270483200,0.0103670001,0.011192066,0.01191746,0.012122554,0.0143567861,0.0149849999,0.016,0.0202211623,0.0233379255,0.0257956421,0.027343,0.0302177552,0.0308367842,0.0317555699,0.0334479587,0.035021243,0.0381848735,0.0400228428,0.041111222,0.0419675016,0.0427185011,2010,4,6,0,0,0
5ff1f6425c3c623e8d3108c2,2010-04-07 00:00:1270569600,0.0102419996,0.0112352787,0.0121684599,0.0124659587,0.0141666853,0.0151979995,0.0162,0.020428402,0.023989,0.0263145289,0.027873,0.0303678362,0.0313246421,0.0322442189,0.0337605885,0.0351820069,0.0382205219,0.0401243199,0.0412112188,0.0420674992,0.0428184986,2010,4,7,0,0,0
5ff1f6425c3c623e8d3108c3,2010-04-08 00:00:1270656000,0.0101960003,0.0111603103,0.0120774603,0.012374182,0.0146858669,0.0152600002,0.0163999999,0.0208131777,0.0243837839,0.0266270748,0.02837,0.0308004466,0.0315145063,0.0323888945,0.0339885157,0.0355491776,0.0384368538,0.0400730046,0.041361,0.0422174978,0.042968502,2010,4,8,0,0,0
5ff1f6425c3c623e8d3108c4,2010-04-09 00:00:1270742400,0.0101839995,0.0113396837,0.0124953819,0.013,0.0151681361,0.0157889998,0.016709,0.020859827,0.0244937675,0.0266331423,0.0285108567,0.0308667147,0.0315142577,0.0324043495,0.0339935156,0.0354676714,0.0384756285,0.0401333955,0.041461,0.0423175001,0.0430684996,2010,4,9,0,0,0
5ff1f6425c3c623e8d3108c5,2010-04-12 00:00:1271001600,0.0101129997,0.0114291822,0.0127453804,0.01325,0.014768,0.0157290006,0.0165999997,0.0205480127,0.024341653,0.0265723726,0.0284506973,0.030736687,0.0315828784,0.0325055305,0.0339724544,0.0353431146,0.0385106606,0.0401868582,0.0415735034,0.0423974991,0.0431484985,2010,4,12,0,0,0
5ff1f6425c3c623e8d3108c6,2010-04-13 00:00:1271088000,0.0101040006,0.0115116816,0.0129193795,0.0134398317,0.0145,0.0156019998,0.0165509999,0.0205556619,0.0241889961,0.0265256709,0.0285987586,0.0305375184,0.0311207073,0.0320192475,0.033583475,0.0350305621,0.0385997978,0.04009,0.0415563721,0.0423964977,0.0431475019,2010,4,13,0,0,0
5ff1f6425c3c623e8d3108c7,2010-04-14 00:00:1271174400,0.0101090002,0.0115216814,0.0129343796,0.0134352074,0.0140225961,0.0154,0.0165030003,0.0205793981,0.0241440414,0.0265144256,0.0282126005,0.0305793152,0.031434936,0.0323278015,0.0337313797,0.0350425872,0.0385474155,0.0399579557,0.0414985371,0.0424965,0.0432474995,2010,4,14,0,0,0
5ff1f6425c3c623e8d3108c8,2010-04-15 00:00:1271260800,0.0100839996,0.0115166811,0.0129493797,0.0134468883,0.0140611206,0.0155680001,0.0165040004,0.0205615575,0.0241533368,0.026482303,0.0282923938,0.030774519,0.0314196757,0.0322583869,0.0337213609,0.0350707376,0.0384903786,0.0399671576,0.0414988062,0.0424975014,0.0432485008,2010,4,15,0,0,0
5ff1f6425c3c623e8d3108c9,2010-04-16 00:00:1271347200,0.0101450002,0.0114521824,0.0127593803,0.0132762278,0.014661,0.0157002096,0.0166069996,0.0205919418,0.0239376421,0.0264213051,0.0282972266,0.0307454619,0.0313779629,0.0322065316,0.0335578731,0.0348132906,0.0385401726,0.0399679988,0.0414995653,0.042498498,0.0432495022,2010,4,16,0,0,0
5ff1f6425c3c623e8d3108ca,2010-04-19 00:00:1271606400,0.0101460004,0.0113776831,0.0126093805,0.0131473138,0.014548,0.0154872096,0.0163940001,0.0205681273,0.0238549066,0.0262943842,0.027941292,0.0300591441,0.0308522916,0.0317193348,0.032951511,0.0341157408,0.0386285682,0.0399849108,0.0414,0.0425985003,0.0433494997,2010,4,19,0,0,0
5ff1f6425c3c623e8d3108cb,2010-04-20 00:00:1271692800,0.0101670003,0.0115371819,0.0129073799,0.0134603535,0.0143,0.0153022099,0.0163929999,0.0204110693,0.0235537711,0.0259219167,0.0275455704,0.0296744655,0.030601,0.0314627409,0.0328095972,0.0340863567,0.038466278,0.0398947404,0.0413009977,0.0424994993,0.0432504988,2010,4,20,0,0,0
